email,phone,fullname
marcodotcastro@gmail.com,61991707479,Marco A. Castro
joaosilva@gmail.com,51987654321,João Silva
mariapereira@hotmail.com,2134567890,Maria Pereira
pedrogoncalves@yahoo.com,3187654321,Pedro Gonçalves
anacarvalho@gmail.com,11987654321,Ana Carvalho
felipeoliveira@hotmail.com,41987654321,Felipe Oliveira
luciamartins@yahoo.com,21987654321,Lucia Martins
carlospereira@gmail.com,71987654321,Carlos Pereira
andreasantos@hotmail.com,81987654321,Andrea Santos
tiagocosta@yahoo.com,61987654321,Tiago Costa
